,Ticker,industry,sector,averageVolume,averageVolume10days,marketCap
888,CTIC,Biotechnology,Healthcare,6224763,4804350,1198789248
2087,LRMR,Biotechnology,Healthcare,288903,476400,133269136
3365,ENVB,Biotechnology,Healthcare,3676295,59720,6962204
3060,SGMA,Electronic Components,Technology,293747,15140,19979432
2284,SSBI,Banks—Regional,Financial Services,13278,9260,103279616
897,USLM,Building Materials,Basic Materials,5391,9380,1177782400
3486,SMX,Specialty Business Services,Industrials,2260711,4381570,3489495
2311,CNGL,Shell Companies,Financial Services,2262,2450,96415672
1306,TEVA,Drug Manufacturers—Specialty & Generic,Healthcare,13178231,9507540,8440655872
265,GRFS,Drug Manufacturers—General,Healthcare,721757,396690,7831752704
2,EGHT,Software—Application,Technology,1684647,1735390,512001600
1093,MDXG,Biotechnology,Healthcare,773295,1293490,762966592
3292,MARPS,Oil & Gas Midstream,Energy,6813,18450,9800000
3317,ALAR,Software—Infrastructure,Technology,189601,17250,9065862
3150,ACOR,Drug Manufacturers—Specialty & Generic,Healthcare,56370,10420,15150156
1699,FISI,Banks—Regional,Financial Services,86173,81220,251546464
440,ARWR,Biotechnology,Healthcare,1011329,887750,3762880000
2056,RDCM,Telecom Services,Communication Services,7719,6300,140284128
963,NSC,Railroads,Industrials,1402362,938040,52102242304
2685,NXTC,Biotechnology,Healthcare,59924,112720,49824468
2917,VIEW,Building Products & Equipment,Industrials,2111657,4485090,30970626
3347,CRKN,Specialty Chemicals,Basic Materials,10163557,1675840,7816465
79,AEP,Utilities—Regulated Electric,Utilities,2760477,3589430,43921969152
2021,CUE,Biotechnology,Healthcare,328577,720740,151987264
3058,VEEE,Recreational Vehicles,Consumer Cyclical,77952,20790,20182398
1184,SMG,Agricultural Inputs,Basic Materials,748611,776690,3621696768
2980,PMD,Diagnostics & Research,Healthcare,9573,10920,25802388
3204,TLIS,Medical Devices,Healthcare,124188,69380,12894240
1615,TGAA,Shell Companies,Financial Services,54095,4320,287693088
2766,SABS,Biotechnology,Healthcare,1421952,148940,41830172
3404,ONFO,Internet Content & Information,Communication Services,1378959,56470,6004485
2323,CZWI,Banks—Regional,Financial Services,9854,9930,95092600
441,LYFT,Software—Application,Technology,17671514,14626070,3834167552
1455,WIT,Information Technology Services,Technology,1912542,1708620,26334605312
2116,TBCP,Shell Companies,Financial Services,2890,100,127370656
31,GILD,Drug Manufacturers—General,Healthcare,5487819,4943120,95690448896
176,BLX,Banks—Regional,Financial Services,99659,129720,824568448
1213,SQM,Specialty Chemicals,Basic Materials,1893000,1034430,21868445696
527,FFA,Asset Management,Financial Services,29752,37830,354388992
1284,TRC,Conglomerates,Industrials,35455,37460,463692576
2842,BMR,Software—Application,Technology,1117836,115740,36845092
1126,O,REIT—Retail,Real Estate,3966372,4496180,40527966208
3294,WAFU,Education & Training Services,Consumer Defensive,228677,8440,9790376
797,LEE,Publishing,Communication Services,7539,3270,80823592
2178,CDXC,Biotechnology,Healthcare,82811,64300,116197448
2925,ELTX,Biotechnology,Healthcare,40168,35440,81560152
1987,ESSA,Banks—Regional,Financial Services,35495,123000,157804416
2170,AOUT,Leisure,Consumer Cyclical,30978,48420,117732944
2220,ENER,Shell Companies,Financial Services,21549,2820,110444704
359,MSTR,Software—Application,Technology,909195,1265740,4896315392
